sentence	sentence_id	locale	reason
Dutý datel dá tam tady tudy tyto dudy.	145121ae1908decef67364059eac4c3412b6082518cb5a1bd1237729e4a8ed5b	cs	difficult-pronounce
Na anesteziologickoresuscitačním oddělení resuscituje anesteziolog.	18449669407fe95d8c86da41b012bbb5dfce16c45a67b4850ba3d3e654abcdc0	cs	difficult-pronounce
Prut plul rychle po proudu a v lahvi se lyricky perlil ricinový olej.	1a9602423e64532e5852b14b8096dc2e3d84b4e7b3f10952e2ca5b7d9b8fd1b3	cs	difficult-pronounce
Dřeš dřez a jazz, jazzman drhne dřez.	1baca930ea96010eb2761c8e9d662585a8393e85079725668c8ae873263342ec	cs	difficult-pronounce
Kolouch, kohout s mouchou mnohou plavou dlouhou strouhou ouzkou, chroupou oukrop s pouhou houskou.	1c776fab45dca86d38212c6d7c85aa1215862c9407c7561e38b96854d4edd932	cs	difficult-pronounce
Sysli myslí, že v té pixli je syslí müsli.	1d2469ec7a882c8faa92aeb52dfcd55fbb255e8bb788e2334617823a8087c1a5	cs	difficult-pronounce
Co činíme v případěcivilních obětí v Afghánistánu?	65eb332fa9c04f69e34d350f174a4f559f6b879ce3c2c62b8366824bf2abaf28	cs	grammar-or-spelling
Na snímku je zachycena hlava a ramena muže ležícího na břiše na písku.	65fbb8625dfa01b995cdc7882845d62a8d9cd7450aa4c6fdb7850d465bc506d8	cs	grammar-or-spelling
Podle mého názoru tvoří čl.	66a16b7d8635e529eb15c7da317eb98417b0b649c1f9c67cf76b0a76708fd9bc	cs	grammar-or-spelling
Mohu mám to v krátkosti vysvětlit.	66312a5e57e937eb4f5981675e1e6785298d057cfceff8a7410ea24d4af0cf62	cs	grammar-or-spelling
Dvanáct týmů v bylo v semifinálové fázi rozlosováno do tří skupin po čtyřech.	66aa71d3218172ad98ee50c363f93dc9d49875f3055187dab72c7cf88dbc1dd7	cs	grammar-or-spelling
Byl poměrně úspěšná.	6668a6ab0a393f8289eb38d9127afebcba3a53ebbeb94a3c4d22f2bad0172b41	cs	grammar-or-spelling
Jedná se na trojlodní baziliku s příčnou lodí s přilehlými kaplemi.	672696f036f5c02ec74c068bd7e3bf66155d8e118fc8fdc32d971d80ec00b426	cs	grammar-or-spelling
Nebude se to učit hrou somo proti sobě?	66ce846c16e9a4954742547bce46a8265da1796808d2f9d679f6874918b78e32	cs	grammar-or-spelling
Mohu mám to v krátkosti vysvětlit.	66312a5e57e937eb4f5981675e1e6785298d057cfceff8a7410ea24d4af0cf62	cs	grammar-or-spelling
Jedním z hlavních úkolů je reforma veřejného systému sociálního zabezpečení.	66dd39ee74a69e44ef287e8b3229f9c62edbc0b1cdeceb9c917ca6e32614c420	cs	grammar-or-spelling
V posledních letech života již se stáhl z politické scény do rodinného kruhu.	6606fe19624ace3caa9a4fb0c3e4cd5031125beba62e448a68d2118a3aaa5a92	cs	grammar-or-spelling
Pro Görlitz a další pět měst působil také jako vyslanec u císařského dvora.	66b29bca4872e4d9e92785932470d258fd81f1d114e213039432b3f5b14d46b7	cs	grammar-or-spelling
Dopravu zboří po silnici nesmíme zlevňovat.	673c846115b8fa57aaef4c88750d844f6fe4501a109f71b697b09ee7dcaaee4a	cs	grammar-or-spelling
Arménským vyhoštěn a umučen.	672faf36fff595f44f5bc6f92c048fa05f122ec64daff504d4cae97c9a8ec103	cs	grammar-or-spelling
